       psi        ni[m^-3]        ne[m^-3]       ti[eV]       te[eV]    we[rad/s]
5.380117E-01   3.233109E+19   3.953373E+19   2.027492E+03   1.705925E+03   1.000000E+00
5.399610E-01   3.229134E+19   3.948783E+19   2.022152E+03   1.702567E+03   1.000000E+00
5.419103E-01   3.225175E+19   3.944203E+19   2.016846E+03   1.699206E+03   1.000000E+00
5.438596E-01   3.221233E+19   3.939634E+19   2.011573E+03   1.695841E+03   1.000000E+00
5.458090E-01   3.217307E+19   3.935076E+19   2.006334E+03   1.692474E+03   1.000000E+00
5.477583E-01   3.213398E+19   3.930527E+19   2.001129E+03   1.689104E+03   1.000000E+00
5.497076E-01   3.209506E+19   3.925990E+19   1.995957E+03   1.685730E+03   1.000000E+00
5.516569E-01   3.205631E+19   3.921463E+19   1.990818E+03   1.682354E+03   1.000000E+00
5.536062E-01   3.201773E+19   3.916946E+19   1.985713E+03   1.678975E+03   1.000000E+00
5.555556E-01   3.197931E+19   3.912440E+19   1.980641E+03   1.675592E+03   1.000000E+00
